id_turma;discente;media_final;numero_total_faltas;descricao
57562647;3ddb9c081afb4b8812c882120a42f807;0.00;0;REPROVADO
57562647;3ddb9c081afb4b8812c882120a42f807;0.00;0;REPROVADO
57562647;3ddb9c081afb4b8812c882120a42f807;0.00;0;REPROVADO
57563021;c889778b21ac2abebcccd62ff678f546;;;TRANCADO
57563040;2849447e693afb0816767beb8dc0a942;;;INDEFERIDO
57563074;b7526a03c4edcc77987629a48ac76b64;9.00;12;APROVADO
57563074;b7526a03c4edcc77987629a48ac76b64;9.00;12;APROVADO
57563074;b7526a03c4edcc77987629a48ac76b64;9.00;12;APROVADO
57563074;b7526a03c4edcc77987629a48ac76b64;;;INDEFERIDO
57563080;3a93cf9223126865d5c1f2a987452e56;8.20;0;APROVADO
57563080;3a93cf9223126865d5c1f2a987452e56;8.20;0;APROVADO
57563080;3a93cf9223126865d5c1f2a987452e56;8.20;0;APROVADO
57563145;761f231943a37ff29272bc3b4020fe0d;;;DESISTENCIA
57563821;6d42cc9c6a322c7518b6e14c0cb943c4;8.70;2;APROVADO
57563821;6d42cc9c6a322c7518b6e14c0cb943c4;8.70;2;APROVADO
57563821;6d42cc9c6a322c7518b6e14c0cb943c4;8.70;2;APROVADO
57563821;d2ebea0c1ebded5adcf2e6eb2d919b9a;10.00;4;APROVADO
57563821;d2ebea0c1ebded5adcf2e6eb2d919b9a;10.00;4;APROVADO
57563821;d2ebea0c1ebded5adcf2e6eb2d919b9a;10.00;4;APROVADO
57563830;4b11fb51905da447d0cefc76ce4f5f94;;;TRANCADO
57563844;1286821dee33ad4c8c3048282848f6e5;8.10;0;APROVADO
57563844;1286821dee33ad4c8c3048282848f6e5;8.10;0;APROVADO
57563844;1286821dee33ad4c8c3048282848f6e5;8.10;0;APROVADO
57563844;16bcf9f32c941fa63a6b0ae2cb03fdcf;7.00;0;APROVADO
57563844;16bcf9f32c941fa63a6b0ae2cb03fdcf;7.00;0;APROVADO
57563844;16bcf9f32c941fa63a6b0ae2cb03fdcf;7.00;0;APROVADO
57563844;2bebbda0ca273a4be74009d7699de55f;5.40;0;APROVADO POR NOTA
