id_turma;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;nivel_ensino;ano;periodo;capacidade_aluno;tipo;qtd_aulas_lancadas;situacao_turma;modalidade_participantes
1207250;1;5755580;;53648;LATO SENSU;2014;2;33;REGULAR;32;CONSOLIDADA;Presencial
1213722;1;23859;;54158;LATO SENSU;2014;2;33;REGULAR;0;CONSOLIDADA;Presencial
1217095;1;3029296;;52919;LATO SENSU;2014;2;26;REGULAR;30;CONSOLIDADA;Presencial
1217097;1;5753571;;53074;LATO SENSU;2014;2;26;REGULAR;52;CONSOLIDADA;Presencial
1217097;1;5753068;;53074;LATO SENSU;2014;2;26;REGULAR;52;CONSOLIDADA;Presencial
1217097;1;5752022;;53074;LATO SENSU;2014;2;26;REGULAR;52;CONSOLIDADA;Presencial
1217097;1;17628;;53074;LATO SENSU;2014;2;26;REGULAR;52;CONSOLIDADA;Presencial
1217098;1;;107463637;52924;LATO SENSU;2014;2;26;REGULAR;30;CONSOLIDADA;Presencial
1217098;1;5753347;;52924;LATO SENSU;2014;2;26;REGULAR;30;CONSOLIDADA;Presencial
1227962;1;5753024;;47988;LATO SENSU;2014;2;12;REGULAR;0;CONSOLIDADA;Presencial
1227967;1;5752470;;2054700;LATO SENSU;2014;2;12;REGULAR;96;CONSOLIDADA;Presencial
1227983;1;5753043;;51955;RESIDÊNCIA;2014;2;15;REGULAR;36;CONSOLIDADA;Presencial
1227983;1;5753758;;51955;RESIDÊNCIA;2014;2;15;REGULAR;36;CONSOLIDADA;Presencial
1228033;1;15524;;47129;STRICTO SENSU;2014;2;15;REGULAR;;EXCLUÍDA;Presencial
1228035;2;15524;;47129;STRICTO SENSU;2014;2;15;REGULAR;20;CONSOLIDADA;Presencial
1228165;1;26652;;18815;TÉCNICO;2014;2;50;REGULAR;48;CONSOLIDADA;Presencial
1228166;2;5752921;;18815;TÉCNICO;2014;2;50;REGULAR;76;CONSOLIDADA;Presencial
1228167;3;23400;;18815;TÉCNICO;2014;2;30;REGULAR;;EXCLUÍDA;Presencial
1228168;1;24233;;18729;TÉCNICO;2014;2;30;REGULAR;36;CONSOLIDADA;Presencial
1228169;2;23400;;18729;TÉCNICO;2014;2;30;REGULAR;2;CONSOLIDADA;Presencial
1228172;1;26062;;18652;TÉCNICO;2014;2;3;REGULAR;57;CONSOLIDADA;Presencial
1228173;2;35466;;18652;TÉCNICO;2014;2;3;REGULAR;6;CONSOLIDADA;Presencial
1228174;3;23400;;18652;TÉCNICO;2014;2;3;REGULAR;;EXCLUÍDA;Presencial
1228175;1;24233;;18654;TÉCNICO;2014;2;3;REGULAR;51;CONSOLIDADA;Presencial
1228176;2;35466;;18654;TÉCNICO;2014;2;3;REGULAR;0;CONSOLIDADA;Presencial
1228177;1;26062;;18737;TÉCNICO;2014;2;3;REGULAR;;EXCLUÍDA;Presencial
1228178;2;23400;;18737;TÉCNICO;2014;2;3;REGULAR;;EXCLUÍDA;Presencial
