id_turma;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;nivel_ensino;ano;periodo;capacidade_aluno;tipo;qtd_aulas_lancadas;situacao_turma;modalidade_participantes
1205342;1;5752548;;51232;LATO SENSU;2014;1;30;REGULAR;20;CONSOLIDADA;Presencial
1205342;1;21790;;51232;LATO SENSU;2014;1;30;REGULAR;20;CONSOLIDADA;Presencial
1205343;1;25444;;51233;LATO SENSU;2014;1;30;REGULAR;0;CONSOLIDADA;Presencial
1207245;1;;96111462;53646;LATO SENSU;2014;1;33;REGULAR;32;CONSOLIDADA;Presencial
1207246;1;23859;;53643;LATO SENSU;2014;1;33;REGULAR;40;CONSOLIDADA;Presencial
1207247;1;;96110857;53647;LATO SENSU;2014;1;33;REGULAR;48;CONSOLIDADA;Presencial
1207248;1;26133;;53948;LATO SENSU;2014;1;33;REGULAR;40;CONSOLIDADA;Presencial
1215958;1;5752192;;51816;LATO SENSU;2014;1;77;REGULAR;33;CONSOLIDADA;Presencial
1215958;1;5753881;;51816;LATO SENSU;2014;1;77;REGULAR;33;CONSOLIDADA;Presencial
1215958;1;5752663;;51816;LATO SENSU;2014;1;77;REGULAR;33;CONSOLIDADA;Presencial
1216712;1;2257775;;52227;LATO SENSU;2014;1;12;REGULAR;0;CONSOLIDADA;Presencial
1216715;1;5752231;;52088;LATO SENSU;2014;1;12;REGULAR;0;CONSOLIDADA;Presencial
1216719;1;5752718;;53376;LATO SENSU;2014;1;12;REGULAR;0;CONSOLIDADA;Presencial
1216719;1;5753008;;53376;LATO SENSU;2014;1;12;REGULAR;0;CONSOLIDADA;Presencial
1216719;1;25957;;53376;LATO SENSU;2014;1;12;REGULAR;0;CONSOLIDADA;Presencial
1216719;1;5755032;;53376;LATO SENSU;2014;1;12;REGULAR;0;CONSOLIDADA;Presencial
1216721;1;5753008;;53412;LATO SENSU;2014;1;12;REGULAR;0;CONSOLIDADA;Presencial
1217077;1;5756336;;52643;LATO SENSU;2014;1;50;REGULAR;;CONSOLIDADA;Presencial
1217079;1;5752589;;52645;LATO SENSU;2014;1;50;REGULAR;24;CONSOLIDADA;Presencial
1217080;1;5753650;;52703;LATO SENSU;2014;1;50;REGULAR;24;CONSOLIDADA;Presencial
1217081;1;22739;;52647;LATO SENSU;2014;1;30;REGULAR;;CONSOLIDADA;Presencial
1217082;1;5756357;;52648;LATO SENSU;2014;1;50;REGULAR;12;CONSOLIDADA;Presencial
1217093;1;5753068;;52917;LATO SENSU;2014;1;26;REGULAR;15;CONSOLIDADA;Presencial
1217094;1;5751829;;52918;LATO SENSU;2014;1;26;REGULAR;30;CONSOLIDADA;Presencial
1217104;1;24166;;53072;LATO SENSU;2014;1;26;REGULAR;60;CONSOLIDADA;Presencial
1217104;1;17897;;53072;LATO SENSU;2014;1;26;REGULAR;60;CONSOLIDADA;Presencial
1217104;1;22736;;53072;LATO SENSU;2014;1;26;REGULAR;60;CONSOLIDADA;Presencial
1217205;1;5756291;;48251;GRADUAÇÃO;2014;1;45;REGULAR;68;CONSOLIDADA;Presencial
1217206;1;5756291;;48252;GRADUAÇÃO;2014;1;45;REGULAR;66;CONSOLIDADA;Presencial
1217207;1;26379;;48565;GRADUAÇÃO;2014;1;25;REGULAR;74;CONSOLIDADA;Presencial
1217208;1;18388;;23495;GRADUAÇÃO;2014;1;50;REGULAR;105;CONSOLIDADA;Presencial
1217209;1;18205;;23533;GRADUAÇÃO;2014;1;55;REGULAR;72;CONSOLIDADA;Presencial
1217210;2;18205;;23533;GRADUAÇÃO;2014;1;55;REGULAR;72;CONSOLIDADA;Presencial
1217211;1;21789;;25518;GRADUAÇÃO;2014;1;50;REGULAR;112;CONSOLIDADA;Presencial
1217211;1;20811;;25518;GRADUAÇÃO;2014;1;50;REGULAR;112;CONSOLIDADA;Presencial
1217212;2;5755887;;25518;GRADUAÇÃO;2014;1;50;REGULAR;98;CONSOLIDADA;Presencial
1217213;1;5756072;;23577;GRADUAÇÃO;2014;1;30;REGULAR;112;CONSOLIDADA;Presencial
1217214;1;5755887;;25526;GRADUAÇÃO;2014;1;53;REGULAR;66;CONSOLIDADA;Presencial
1217215;1;5755898;;23553;GRADUAÇÃO;2014;1;50;REGULAR;72;CONSOLIDADA;Presencial
1217216;2;5756072;;23553;GRADUAÇÃO;2014;1;50;REGULAR;74;CONSOLIDADA;Presencial
1217217;3;5756697;;23553;GRADUAÇÃO;2014;1;60;REGULAR;72;CONSOLIDADA;Presencial
1217218;1;22736;;25173;GRADUAÇÃO;2014;1;45;REGULAR;72;CONSOLIDADA;Presencial
1217220;1;5755981;;2054963;GRADUAÇÃO;2014;1;45;REGULAR;72;CONSOLIDADA;Presencial
1217222;1;24793;;43353;GRADUAÇÃO;2014;1;40;REGULAR;70;CONSOLIDADA;Presencial
1217224;01A;26522;;21812;GRADUAÇÃO;2014;1;11;REGULAR;105;CONSOLIDADA;Presencial
1217224;01A;5755763;;21812;GRADUAÇÃO;2014;1;11;REGULAR;105;CONSOLIDADA;Presencial
1217224;01A;5753585;;21812;GRADUAÇÃO;2014;1;11;REGULAR;105;CONSOLIDADA;Presencial
1217224;01A;21848;;21812;GRADUAÇÃO;2014;1;11;REGULAR;105;CONSOLIDADA;Presencial
1217226;02A;21848;;21812;GRADUAÇÃO;2014;1;8;REGULAR;111;CONSOLIDADA;Presencial
1217226;02A;5755763;;21812;GRADUAÇÃO;2014;1;8;REGULAR;111;CONSOLIDADA;Presencial
1217226;02A;26522;;21812;GRADUAÇÃO;2014;1;8;REGULAR;111;CONSOLIDADA;Presencial
1217226;02A;5753585;;21812;GRADUAÇÃO;2014;1;8;REGULAR;111;CONSOLIDADA;Presencial
1217228;05A;5756367;;20984;GRADUAÇÃO;2014;1;17;REGULAR;102;CONSOLIDADA;Presencial
1217228;05A;26416;;20984;GRADUAÇÃO;2014;1;17;REGULAR;102;CONSOLIDADA;Presencial
1217228;05A;5752003;;20984;GRADUAÇÃO;2014;1;17;REGULAR;102;CONSOLIDADA;Presencial
1217230;02A;5752003;;20984;GRADUAÇÃO;2014;1;17;REGULAR;102;CONSOLIDADA;Presencial
1217230;02A;5756367;;20984;GRADUAÇÃO;2014;1;17;REGULAR;102;CONSOLIDADA;Presencial
1217230;02A;26416;;20984;GRADUAÇÃO;2014;1;17;REGULAR;102;CONSOLIDADA;Presencial
1217231;2;5755887;;25526;GRADUAÇÃO;2014;1;38;REGULAR;66;CONSOLIDADA;Presencial
1217232;1;5751827;;41805;GRADUAÇÃO;2014;1;20;REGULAR;72;CONSOLIDADA;Presencial
1217234;01A;5753084;;2054902;GRADUAÇÃO;2014;1;24;REGULAR;72;CONSOLIDADA;Presencial
1217234;01A;5753652;;2054902;GRADUAÇÃO;2014;1;24;REGULAR;72;CONSOLIDADA;Presencial
1217236;02A;5753084;;2054902;GRADUAÇÃO;2014;1;35;REGULAR;72;CONSOLIDADA;Presencial
1217236;02A;5753652;;2054902;GRADUAÇÃO;2014;1;35;REGULAR;72;CONSOLIDADA;Presencial
1217237;1;23840;;25798;GRADUAÇÃO;2014;1;40;REGULAR;74;CONSOLIDADA;Presencial
1217238;2;23840;;25798;GRADUAÇÃO;2014;1;31;REGULAR;74;CONSOLIDADA;Presencial
1217239;1;5753597;;25799;GRADUAÇÃO;2014;1;16;REGULAR;51;CONSOLIDADA;Presencial
1217240;2;5753012;;25799;GRADUAÇÃO;2014;1;15;REGULAR;51;CONSOLIDADA;Presencial
1217241;3;5753012;;25799;GRADUAÇÃO;2014;1;15;REGULAR;51;CONSOLIDADA;Presencial
1217242;4;5755035;;25799;GRADUAÇÃO;2014;1;15;REGULAR;51;CONSOLIDADA;Presencial
1217243;3;;102364708;25798;GRADUAÇÃO;2014;1;55;REGULAR;72;CONSOLIDADA;Presencial
1217244;4;5756471;;25798;GRADUAÇÃO;2014;1;50;REGULAR;66;CONSOLIDADA;Presencial
1217244;4;22922;;25798;GRADUAÇÃO;2014;1;50;REGULAR;66;CONSOLIDADA;Presencial
1217245;1;23840;;25797;GRADUAÇÃO;2014;1;51;REGULAR;74;CONSOLIDADA;Presencial
1217247;1;24337;;28215;GRADUAÇÃO;2014;1;45;REGULAR;112;CONSOLIDADA;Presencial
1217248;1;5756210;;24542;GRADUAÇÃO;2014;1;45;REGULAR;72;CONSOLIDADA;Presencial
1217248;1;5756690;;24542;GRADUAÇÃO;2014;1;45;REGULAR;72;CONSOLIDADA;Presencial
1217252;01A;18780;;25964;GRADUAÇÃO;2014;1;13;REGULAR;99;CONSOLIDADA;Presencial
1217252;01A;26212;;25964;GRADUAÇÃO;2014;1;13;REGULAR;99;CONSOLIDADA;Presencial
1217252;01A;5753715;;25964;GRADUAÇÃO;2014;1;13;REGULAR;99;CONSOLIDADA;Presencial
1217252;01A;5755748;;25964;GRADUAÇÃO;2014;1;13;REGULAR;99;CONSOLIDADA;Presencial
1217253;1;5752709;;2054966;GRADUAÇÃO;2014;1;25;REGULAR;66;CONSOLIDADA;Presencial
1217255;02A;5755748;;25964;GRADUAÇÃO;2014;1;13;REGULAR;98;CONSOLIDADA;Presencial
1217255;02A;5753715;;25964;GRADUAÇÃO;2014;1;13;REGULAR;98;CONSOLIDADA;Presencial
1217255;02A;18780;;25964;GRADUAÇÃO;2014;1;13;REGULAR;98;CONSOLIDADA;Presencial
1217255;02A;26212;;25964;GRADUAÇÃO;2014;1;13;REGULAR;98;CONSOLIDADA;Presencial
1217256;1;5753872;;2054967;GRADUAÇÃO;2014;1;15;REGULAR;77;CONSOLIDADA;Presencial
1217258;03A;5753715;;25964;GRADUAÇÃO;2014;1;13;REGULAR;102;CONSOLIDADA;Presencial
1217258;03A;18780;;25964;GRADUAÇÃO;2014;1;13;REGULAR;102;CONSOLIDADA;Presencial
1217258;03A;26212;;25964;GRADUAÇÃO;2014;1;13;REGULAR;102;CONSOLIDADA;Presencial
1217258;03A;5755748;;25964;GRADUAÇÃO;2014;1;13;REGULAR;102;CONSOLIDADA;Presencial
1217259;1;5755981;;2055001;GRADUAÇÃO;2014;1;20;REGULAR;74;CONSOLIDADA;Presencial
1217260;1;5755981;;2055002;GRADUAÇÃO;2014;1;20;REGULAR;72;CONSOLIDADA;Presencial
1217262;04A;5755748;;25964;GRADUAÇÃO;2014;1;25;REGULAR;110;CONSOLIDADA;Presencial
1217262;04A;18780;;25964;GRADUAÇÃO;2014;1;25;REGULAR;110;CONSOLIDADA;Presencial
1217262;04A;26212;;25964;GRADUAÇÃO;2014;1;25;REGULAR;110;CONSOLIDADA;Presencial
1217262;04A;5753715;;25964;GRADUAÇÃO;2014;1;25;REGULAR;110;CONSOLIDADA;Presencial
1217263;1;5754639;;2055016;GRADUAÇÃO;2014;1;20;REGULAR;74;CONSOLIDADA;Presencial
1217265;05A;5755748;;25964;GRADUAÇÃO;2014;1;21;REGULAR;100;CONSOLIDADA;Presencial
1217265;05A;5753715;;25964;GRADUAÇÃO;2014;1;21;REGULAR;100;CONSOLIDADA;Presencial
1217265;05A;18780;;25964;GRADUAÇÃO;2014;1;21;REGULAR;100;CONSOLIDADA;Presencial
1217265;05A;26212;;25964;GRADUAÇÃO;2014;1;21;REGULAR;100;CONSOLIDADA;Presencial
1217266;1;63227;;43374;GRADUAÇÃO;2014;1;20;REGULAR;74;CONSOLIDADA;Presencial
1217266;1;5755565;;43374;GRADUAÇÃO;2014;1;20;REGULAR;74;CONSOLIDADA;Presencial
1217269;03A;26522;;21812;GRADUAÇÃO;2014;1;11;REGULAR;108;CONSOLIDADA;Presencial
1217269;03A;5753585;;21812;GRADUAÇÃO;2014;1;11;REGULAR;108;CONSOLIDADA;Presencial
1217269;03A;5755763;;21812;GRADUAÇÃO;2014;1;11;REGULAR;108;CONSOLIDADA;Presencial
1217269;03A;21848;;21812;GRADUAÇÃO;2014;1;11;REGULAR;108;CONSOLIDADA;Presencial
1217269;03A;5755907;;21812;GRADUAÇÃO;2014;1;11;REGULAR;108;CONSOLIDADA;Presencial
1217270;1;5755514;;2054970;GRADUAÇÃO;2014;1;20;REGULAR;68;CONSOLIDADA;Presencial
1217270;1;2296724;;2054970;GRADUAÇÃO;2014;1;20;REGULAR;68;CONSOLIDADA;Presencial
1217272;04A;5753585;;21812;GRADUAÇÃO;2014;1;9;REGULAR;108;CONSOLIDADA;Presencial
1217272;04A;5755907;;21812;GRADUAÇÃO;2014;1;9;REGULAR;108;CONSOLIDADA;Presencial
1217272;04A;21848;;21812;GRADUAÇÃO;2014;1;9;REGULAR;108;CONSOLIDADA;Presencial
1217272;04A;26522;;21812;GRADUAÇÃO;2014;1;9;REGULAR;108;CONSOLIDADA;Presencial
1217272;04A;5755763;;21812;GRADUAÇÃO;2014;1;9;REGULAR;108;CONSOLIDADA;Presencial
1217273;1;63864;;2055015;GRADUAÇÃO;2014;1;20;REGULAR;74;CONSOLIDADA;Presencial
1217274;1;5755123;;43371;GRADUAÇÃO;2014;1;40;REGULAR;66;CONSOLIDADA;Presencial
1217276;05A;21848;;21812;GRADUAÇÃO;2014;1;14;REGULAR;105;CONSOLIDADA;Presencial
1217276;05A;5755907;;21812;GRADUAÇÃO;2014;1;14;REGULAR;105;CONSOLIDADA;Presencial
1217276;05A;26522;;21812;GRADUAÇÃO;2014;1;14;REGULAR;105;CONSOLIDADA;Presencial
1217276;05A;5755763;;21812;GRADUAÇÃO;2014;1;14;REGULAR;105;CONSOLIDADA;Presencial
1217276;05A;5753585;;21812;GRADUAÇÃO;2014;1;14;REGULAR;105;CONSOLIDADA;Presencial
1217277;1;21348;;2054974;GRADUAÇÃO;2014;1;20;REGULAR;74;CONSOLIDADA;Presencial
1217279;06A;21848;;21812;GRADUAÇÃO;2014;1;10;REGULAR;105;CONSOLIDADA;Presencial
1217279;06A;26522;;21812;GRADUAÇÃO;2014;1;10;REGULAR;105;CONSOLIDADA;Presencial
1217279;06A;5755763;;21812;GRADUAÇÃO;2014;1;10;REGULAR;105;CONSOLIDADA;Presencial
1217279;06A;5755907;;21812;GRADUAÇÃO;2014;1;10;REGULAR;105;CONSOLIDADA;Presencial
1217279;06A;5753585;;21812;GRADUAÇÃO;2014;1;10;REGULAR;105;CONSOLIDADA;Presencial
1217281;03A;5752003;;20984;GRADUAÇÃO;2014;1;23;REGULAR;104;CONSOLIDADA;Presencial
1217281;03A;26416;;20984;GRADUAÇÃO;2014;1;23;REGULAR;104;CONSOLIDADA;Presencial
1217281;03A;5756367;;20984;GRADUAÇÃO;2014;1;23;REGULAR;104;CONSOLIDADA;Presencial
