id_turma;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;nivel_ensino;ano;periodo;capacidade_aluno;tipo;qtd_aulas_lancadas;situacao_turma;modalidade_participantes
57562257;1;5752206;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562261;2;5752206;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562261;2;;109881524;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562265;3;;110569107;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562265;3;5752206;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562269;4;18230;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562275;5;5752849;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562279;6;;109881893;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562279;6;5752206;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562348;7;5752206;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57562348;7;5757177;;56847;LATO SENSU;2016;1;;REGULAR;0;CONSOLIDADA;A Distância
57573186;1;23400;;18651;TÉCNICO;2016;1;3;REGULAR;0;CONSOLIDADA;Presencial
57573187;1;26652;;18814;TÉCNICO;2016;1;50;REGULAR;;EXCLUÍDA;Presencial
57573188;1;22886;;18653;TÉCNICO;2016;1;3;REGULAR;54;CONSOLIDADA;Presencial
57573189;2;22886;;18653;TÉCNICO;2016;1;3;REGULAR;54;CONSOLIDADA;Presencial
57573190;3;23400;;18653;TÉCNICO;2016;1;3;REGULAR;0;CONSOLIDADA;Presencial
57573191;1;35466;;18732;TÉCNICO;2016;1;3;REGULAR;33;CONSOLIDADA;Presencial
57573192;2;35466;;18732;TÉCNICO;2016;1;3;REGULAR;0;CONSOLIDADA;Presencial
57573193;3;23400;;18732;TÉCNICO;2016;1;3;REGULAR;0;CONSOLIDADA;Presencial
57573194;4;35466;;18732;TÉCNICO;2016;1;3;REGULAR;3;CONSOLIDADA;Presencial
57573196;1;5751745;;18798;TÉCNICO;2016;1;3;REGULAR;;EXCLUÍDA;Presencial
57573197;1;5752179;;18818;TÉCNICO;2016;1;7;REGULAR;54;CONSOLIDADA;Presencial
57573198;1;5756964;;18810;TÉCNICO;2016;1;40;REGULAR;26;CONSOLIDADA;Presencial
57573199;1;5757767;;18773;TÉCNICO;2016;1;16;REGULAR;22;CONSOLIDADA;Presencial
57573201;2;5752921;;18814;TÉCNICO;2016;1;50;REGULAR;;EXCLUÍDA;Presencial
57573202;1;5757767;;18760;TÉCNICO;2016;1;40;REGULAR;26;CONSOLIDADA;Presencial
57573203;2;5757767;;18760;TÉCNICO;2016;1;40;REGULAR;22;CONSOLIDADA;Presencial
57573204;1;5758240;;18812;TÉCNICO;2016;1;3;REGULAR;51;CONSOLIDADA;Presencial
57573205;2;17295;;18812;TÉCNICO;2016;1;3;REGULAR;;EXCLUÍDA;Presencial
57573206;3;23477;;18812;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573207;4;21705;;18812;TÉCNICO;2016;1;3;REGULAR;54;CONSOLIDADA;Presencial
57573208;5;5754083;;18812;TÉCNICO;2016;1;3;REGULAR;45;CONSOLIDADA;Presencial
57573209;6;5754083;;18812;TÉCNICO;2016;1;3;REGULAR;48;CONSOLIDADA;Presencial
57573210;7;63717;;18812;TÉCNICO;2016;1;2;REGULAR;57;CONSOLIDADA;Presencial
57573211;8;63717;;18812;TÉCNICO;2016;1;2;REGULAR;51;CONSOLIDADA;Presencial
57573212;9;5752878;;18812;TÉCNICO;2016;1;3;REGULAR;54;CONSOLIDADA;Presencial
57573213;10;5752921;;18812;TÉCNICO;2016;1;3;REGULAR;0;CONSOLIDADA;Presencial
57573214;11;21708;;18812;TÉCNICO;2016;1;3;REGULAR;42;CONSOLIDADA;Presencial
57573215;12;24189;;18812;TÉCNICO;2016;1;3;REGULAR;;EXCLUÍDA;Presencial
57573216;13;24189;;18812;TÉCNICO;2016;1;3;REGULAR;51;CONSOLIDADA;Presencial
57573217;14;24189;;18812;TÉCNICO;2016;1;3;REGULAR;;EXCLUÍDA;Presencial
57573218;15;5756964;;18812;TÉCNICO;2016;1;3;REGULAR;54;CONSOLIDADA;Presencial
57573219;16;5757246;;18812;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573220;17;22889;;18812;TÉCNICO;2016;1;3;REGULAR;51;CONSOLIDADA;Presencial
57573221;18;22889;;18812;TÉCNICO;2016;1;3;REGULAR;51;CONSOLIDADA;Presencial
57573222;19;5758038;;18812;TÉCNICO;2016;1;3;REGULAR;42;CONSOLIDADA;Presencial
57573223;20;5752936;;18812;TÉCNICO;2016;1;3;REGULAR;48;CONSOLIDADA;Presencial
57573224;21;24200;;18812;TÉCNICO;2016;1;3;REGULAR;48;CONSOLIDADA;Presencial
57573225;22;5751745;;18812;TÉCNICO;2016;1;3;REGULAR;54;CONSOLIDADA;Presencial
57573227;23;5757134;;18812;TÉCNICO;2016;1;3;REGULAR;51;CONSOLIDADA;Presencial
57573228;24;5757838;;18812;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573229;25;5757838;;18812;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573230;26;5753085;;18812;TÉCNICO;2016;1;3;REGULAR;45;CONSOLIDADA;Presencial
57573231;27;3588457;;18812;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573232;28;3588457;;18812;TÉCNICO;2016;1;3;REGULAR;;EXCLUÍDA;Presencial
57573233;29;3031587;;18812;TÉCNICO;2016;1;3;REGULAR;54;CONSOLIDADA;Presencial
57573234;30;5757639;;18812;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573235;31;5752924;;18812;TÉCNICO;2016;1;3;REGULAR;;EXCLUÍDA;Presencial
57573236;32;5752936;;18812;TÉCNICO;2016;1;3;REGULAR;48;CONSOLIDADA;Presencial
57573237;33;5758038;;18812;TÉCNICO;2016;1;3;REGULAR;0;CONSOLIDADA;Presencial
57573238;34;19101;;18812;TÉCNICO;2016;1;3;REGULAR;0;CONSOLIDADA;Presencial
57573239;35;5754083;;18812;TÉCNICO;2016;1;3;REGULAR;;EXCLUÍDA;Presencial
57573240;1;5754083;;18799;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573242;2;22876;;18799;TÉCNICO;2016;1;3;REGULAR;51;CONSOLIDADA;Presencial
57573243;3;22889;;18799;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
57573244;4;5752924;;18799;TÉCNICO;2016;1;3;REGULAR;57;CONSOLIDADA;Presencial
