id_turma;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;nivel_ensino;ano;periodo;capacidade_aluno;tipo;qtd_aulas_lancadas;situacao_turma;modalidade_participantes
57583415;6;63717;;18799;TÉCNICO;2016;2;2;REGULAR;45;CONSOLIDADA;Presencial
57583416;7;63717;;18799;TÉCNICO;2016;2;2;REGULAR;54;CONSOLIDADA;Presencial
57583417;8;5752878;;18799;TÉCNICO;2016;2;3;REGULAR;0;CONSOLIDADA;Presencial
57583418;9;5752921;;18799;TÉCNICO;2016;2;3;REGULAR;9;CONSOLIDADA;Presencial
57583419;10;5758628;;18799;TÉCNICO;2016;2;3;REGULAR;48;CONSOLIDADA;Presencial
57583420;11;24189;;18799;TÉCNICO;2016;2;3;REGULAR;60;CONSOLIDADA;Presencial
57583421;12;24189;;18799;TÉCNICO;2016;2;3;REGULAR;;EXCLUÍDA;Presencial
57583422;13;5756964;;18799;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583423;14;5757246;;18799;TÉCNICO;2016;2;3;REGULAR;54;CONSOLIDADA;Presencial
57583424;15;22889;;18799;TÉCNICO;2016;2;3;REGULAR;;EXCLUÍDA;Presencial
57583425;16;22889;;18799;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583426;17;5753753;;18799;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583427;18;5752936;;18799;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583428;19;24200;;18799;TÉCNICO;2016;2;3;REGULAR;60;CONSOLIDADA;Presencial
57583429;20;5751745;;18799;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583430;21;5757134;;18799;TÉCNICO;2016;2;3;REGULAR;0;CONSOLIDADA;Presencial
57583432;22;5757838;;18799;TÉCNICO;2016;2;3;REGULAR;48;CONSOLIDADA;Presencial
57583433;23;5757838;;18799;TÉCNICO;2016;2;3;REGULAR;3;CONSOLIDADA;Presencial
57583434;24;5753085;;18799;TÉCNICO;2016;2;3;REGULAR;0;CONSOLIDADA;Presencial
57583436;25;3588457;;18799;TÉCNICO;2016;2;3;REGULAR;48;CONSOLIDADA;Presencial
